userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1648819341,999,76453,6118,1,1,1,3,40,CEO
1649152967,1090,26578,2580,1,1,1,3,29,CEO
1649255811,3162,51483,8937,1,1,1,3,35,CEO
1649651257,744,644609,4207,1,-1,1,3,18,CEO
1650089957,910,17634,3405,1,1,1,3,23,CEO
1650104561,885,21350,100,1,-1,1,3,11,CEO
1650126500,1187,114258,2828,1,1,1,3,39,CEO
1650306337,146,133157,140,1,1,1,3,18,CEO
1650363317,1726,110029,23403,1,1,1,3,40,CEO
1650521027,355,105366,2264,1,1,1,3,37,CEO
1650660520,783,115926,5813,1,1,1,3,31,CEO
1651047782,736,143156,8876,1,1,1,3,26,CEO
1651123083,291,2945506,3749,1,1,1,3,22,CEO
1651504743,1869,98058,4029,1,1,1,3,22,CEO
1651701960,1058,30833,3888,1,1,1,3,26,CEO
1652027110,1550,70038,7399,1,1,1,3,38,CEO
1652435915,958,126592,4082,1,1,1,3,32,CEO
1652701152,741,109013,1994,1,1,1,3,24,CEO
1652837301,507,43102,4626,1,1,1,3,28,CEO
1652858637,2850,10059,472,1,1,1,3,16,CEO
1653120747,761,349561,2705,1,1,1,3,37,CEO
1653125991,1618,38676,1473,1,1,1,3,22,CEO
1653195803,253,439601,564,1,1,1,3,29,CEO
1653253594,951,17513,1410,1,1,1,3,30,CEO
1653686071,505,15621,1168,1,1,1,3,21,CEO
1654000401,1104,76346,6187,1,1,1,3,44,CEO
1655626902,2002,150775,6005,1,-1,1,3,31,CEO
1656303330,668,54379,1408,1,-1,1,3,16,CEO
1656927847,1057,183151,207,1,1,1,3,27,CEO
1656952372,1915,57976,9078,1,1,1,3,32,CEO
1657123012,250,34508,2184,1,1,1,3,44,CEO
1657282401,1460,8641,8904,1,1,1,3,31,CEO
1657432990,546,25565,429,1,1,1,3,29,CEO
1657464934,519,1068014,11412,1,1,1,3,43,CEO
1657527343,4611,72616,8499,1,1,1,3,43,CEO
1657681711,337,223586,893,1,1,1,3,21,CEO
1657776532,50,10163968,4186,1,-1,1,3,33,CEO
1657796645,355,230562,6057,1,1,1,3,44,CEO
1658715641,72,696928,355,1,1,1,3,17,CEO
1658847522,457,17318,4243,1,1,1,3,38,CEO
1659151367,549,194432,4290,1,1,1,3,27,CEO
1659511487,198,175090,701,1,-1,1,3,32,CEO
1659598372,781,177226,1742,1,-1,1,3,34,CEO
1659876172,766,52629,2433,1,1,1,3,39,CEO
1660127072,955,3737457,3433,1,1,1,3,41,CEO
1661307294,798,50878,3835,1,1,1,3,26,CEO
1661601105,1818,23886,4506,1,1,1,3,46,CEO
1661676222,1306,38394,7281,1,1,1,3,36,CEO
1662068725,569,13599,1512,1,1,1,3,17,CEO
1662235833,1313,149066,34372,1,1,1,3,38,CEO
1662766362,1012,7314383,26424,1,1,1,3,48,CEO
1663293625,504,108191,2028,1,1,1,3,25,CEO
1663428287,239,26613,4562,1,1,1,3,37,CEO
1663943851,367,38015,9961,1,1,1,3,43,CEO
1664251407,470,55634,3356,1,1,1,3,24,CEO
1665014522,201,41489,5047,1,1,1,3,32,CEO
1665232543,566,3372340,2201,1,1,1,3,45,CEO
1665356035,474,1852675,8316,1,-1,1,3,34,CEO
1665714930,2076,62880,3804,1,1,1,3,32,CEO
1666440132,1697,55265,359,1,1,1,3,21,CEO
1667631617,1063,144040,8484,1,1,1,3,33,CEO
1668249751,1745,395258,1436,1,-1,1,3,14,CEO
1669840513,813,31141,2588,1,1,1,3,20,CEO
1670311713,217,144269,679,1,1,1,3,16,CEO
1671248621,965,1130633,12349,1,1,1,3,24,CEO
1671329305,921,23569,3024,1,1,1,3,18,CEO
1671427020,731,61071,2577,1,1,1,3,20,CEO
1671558134,402,87981,1772,1,-1,1,3,31,CEO
1672563967,949,12942,1631,1,1,1,3,19,CEO
1672620691,655,19992,6709,1,1,1,3,43,CEO
1673865830,335,219125,1478,1,1,1,3,28,CEO
1674083873,542,62903,6311,1,-1,1,3,32,CEO
1675972383,194,240054,4368,1,1,1,3,44,CEO
1676561695,948,63334,6646,1,1,1,3,48,CEO
1676582524,799,721614,55271,1,1,1,3,48,CEO
1676694463,522,390649,5375,1,1,1,3,22,CEO
1678003054,415,126439,2438,1,-1,1,3,26,CEO
1678015217,2013,38401,5080,1,1,1,3,32,CEO
1678682973,1390,164868,7209,1,-1,1,3,39,CEO
1679013335,323,316978,331,1,1,1,3,25,CEO
1679820405,1378,97587,3489,1,1,1,3,17,CEO
1680887971,1781,18202,4862,1,-1,1,3,31,CEO
1681311747,1053,53534,2530,1,-1,1,3,29,CEO
1681474044,985,9649,291,1,-1,1,3,22,CEO
1681912655,598,164858,2830,1,1,1,3,34,CEO
1682087151,5269,21397,34679,1,1,1,3,48,CEO
1682662450,1126,20778,1802,1,1,1,3,25,CEO
1682750315,363,57360,1571,1,1,1,3,26,CEO
1682868903,2287,901409,14559,1,1,1,3,48,CEO
1682912122,614,171720,1639,1,1,1,3,23,CEO
1684009353,569,18592,3728,1,1,1,3,19,CEO
1685062241,1734,31923,1943,1,1,1,3,21,CEO
1685158337,167,1030269,1773,1,1,1,3,42,CEO
1686466863,337,70991,623,1,1,1,3,34,CEO
1686760823,397,31965,3317,1,-1,1,3,19,CEO
1688904827,1346,15960,1569,1,1,1,3,21,CEO
1689281903,16,285011,124,1,1,1,3,16,CEO
1689363804,15,50504,532,1,1,1,3,15,CEO
1689568791,1782,21766,6148,1,1,1,3,23,CEO
1692687761,950,42979,2291,1,-1,1,3,33,CEO
1692769643,2002,2522382,1822,1,1,1,3,26,CEO
1693909073,356,3007855,2251,1,1,1,3,28,CEO
1696340717,3000,35322,5354,1,1,1,3,37,CEO
1696614675,446,12876,1650,1,1,1,3,24,CEO
1697800740,51,56278,980,1,1,1,3,29,CEO
1699907747,127,394948,1580,1,1,1,3,27,CEO
1701886454,1897,38791,3532,1,1,1,3,27,CEO
1703065202,970,21887,4404,1,1,1,3,37,CEO
1703835657,1993,56744,2247,1,1,1,3,21,CEO
1704106354,1771,54938,5996,1,1,1,3,26,CEO
1704916735,1137,74007,2164,1,1,1,3,46,CEO
1705180884,628,47426275,3631,1,1,1,3,44,CEO
1705511313,1540,629657,1611,1,-1,1,3,42,CEO
1705974982,198,58501,3248,1,1,1,3,42,CEO
1706936455,1955,297859,8695,1,1,1,3,23,CEO
1707074543,1849,339482,13930,1,1,1,3,46,CEO
1708143262,723,154555,1618,1,1,1,3,22,CEO
1708941527,2469,12856,42687,1,1,1,3,30,CEO
1708942053,721,11968979,7790,1,1,1,3,48,CEO
1711759320,448,4128388,4745,1,-1,1,3,40,CEO
1711909822,98,114852,3970,1,-1,1,3,34,CEO
1713571314,287,68527,3733,1,1,1,3,37,CEO
1713671073,393,395619,1848,1,1,1,3,21,CEO
1714254131,233,1120957,1421,1,1,1,3,14,CEO
1714262650,175,72604,1305,1,-1,1,3,33,CEO
1716235922,683,1015292,9263,1,1,1,3,42,CEO
1716902707,282,166431,1388,1,-1,1,3,15,CEO
1719065135,483,88784,7418,1,-1,1,3,32,CEO
1725978530,1405,217603,3546,1,1,1,3,25,CEO
1729203021,519,15853,68,1,1,1,3,29,CEO
1729408273,2311,40896,80646,1,1,1,3,48,CEO
1730715441,633,80344,10,1,1,1,3,32,CEO
1731385820,2094,45994,1940,1,1,1,3,20,CEO
1732035521,460,52600,3449,1,1,1,3,31,CEO
1732116502,407,394905,932,1,1,1,3,25,CEO
1732950433,204,6169256,3721,1,1,1,3,43,CEO
1732968452,601,10811,1514,1,1,1,3,23,CEO
1734741902,330,1287518,4512,1,1,1,3,43,CEO
1734891703,3105,16513,11137,1,1,1,3,37,CEO
1734918104,441,126490,1218,1,1,1,3,37,CEO
1735022341,785,30094,2161,1,1,1,3,33,CEO
1735135037,53,260368,433,1,-1,1,3,14,CEO
1736967482,912,109879,4926,1,-1,1,3,42,CEO
1737545284,586,99850,22,1,1,1,3,25,CEO
1737676122,1696,27964,791,1,1,1,3,24,CEO
1737779050,194,111713,1520,1,-1,1,3,35,CEO
1738332633,503,807214,2148,1,1,1,3,16,CEO
1738587515,1591,30517,3055,1,-1,1,3,23,CEO
1738609407,2870,49860,10871,1,1,1,3,37,CEO
1739643621,595,62228,3186,1,1,1,3,18,CEO
1739909804,549,38447,65,1,-1,1,3,31,CEO
1740466923,4,36937,5027,1,1,1,3,30,CEO
1740633153,603,66809,6901,1,-1,1,3,42,CEO
1740942977,529,43579,1504,1,1,1,3,36,CEO
1742746404,1262,356204,40,1,1,1,3,41,CEO
1742912084,350,1943504,3160,1,-1,1,3,25,CEO
